ID,Subject,Malaysian,JB,Vote,SchStudy
F220114C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree)
F220005A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220121C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
B220162C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree)
B220058A,Project Management BTIS2033,Yes,Johor Bahru,Yes,No (Disagree)
F220105C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
B210201C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
D220035A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220065B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220082A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220171C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree)
F220171C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,No (Disagree)
B220038B,Discrete Mathematics BTHM1013,Yes,Johor Bahru,No,Yes (Agree)
F220084C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220172C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220055B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
B220042A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree)
F220034B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
B210230C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
F220169C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220169C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
B210254C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210059A,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree)
B210198C,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree)
F220070C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
D220067A,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220138C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220122C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220138C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220153C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220057B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,No (Disagree)
F220144C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220154C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220175C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220167C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220121B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220115B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
D220100B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220069B,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
B210151B,Project Management BTIS2033,Yes,not Johor Bahru,Yes,Yes (Agree)
F220155C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
B210064A,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210249C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210157B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210248C,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210094B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210131B,Project Management BTIS2033,Yes,Johor Bahru,Yes,Yes (Agree)
B210001A,Project Management BTIS2033,Yes,not Johor Bahru,No,Yes (Agree)
B210206C,Project Management BTIS2033,Yes,Johor Bahru,No,Yes (Agree)
D180373C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
B220108B,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,No,Yes (Agree)
B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree)
B220136C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
B220177C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,Yes (Agree)
B220003A,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,Yes (Agree)
B220154C,Discrete Mathematics BTHM1013,Yes,not Johor Bahru,Yes,No (Disagree)
B220188C,Discrete Mathematics BTHM1013,Yes,Johor Bahru,Yes,No (Disagree)
F220020A,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220099C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220162C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220162C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220142C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220107C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220124C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220082C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220163C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,Yes (Agree)
F220131C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220143C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220108C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,No,Yes (Agree)
F220108C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree)
F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220181C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,Johor Bahru,No,No (Disagree)
F220120C,Fundamental of Mathematics MATH1083 / FAMA1003 / FCMA1003,Yes,not Johor Bahru,Yes,No (Disagree)
F220141C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220005A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220122C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220117C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220086C,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220003A,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220093C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,Yes (Agree)
F220133C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220166C,Programming Logic and Design FACS1003,Yes,Johor Bahru,No,Yes (Agree)
F220127C,Programming Logic and Design FACS1003,Yes,not Johor Bahru,No,Yes (Agree)
F220025B,Programming Logic and Design FACS1003,Yes,Johor Bahru,Yes,Yes (Agree)
F220049B,Programming Logic and Design FACS1003,Yes,not Johor Bahru,Yes,No (Disagree)
